TITOLO,ANNO,REGISTA,NUMERO,VOTO,IMDB,ROTTEN TOMATOES,MEDIA ,DIFFERENZA
Il papà di Giovanna,2008,Pupi Avati,0.2,4,4,0,2,2
Il petroliere,2008,Paul Thomas Anderson,0.5,3,4,4,4,1
Il pianista,2002,Roman Polański,20,4,4,4,4,0
Il piccolo diavolo,1988,Roberto Benigni,21,3,3,0,"1,5","1,5"
Il piccolo Nicolas e i suoi genitori,2009,Laurent Tirard,-0.5,3,4,3,"3,5","0,5"
Il ponte per Terabithia,2007,Gábor Csupó,-0.6,9,4,4,4,5
Il portaborse,1991,Daniele Luchetti,0,9,4,0,2,7
Il pranzo di Babette,1987,Gabriel Axel,0,3,4,4,4,1
Il rosso e il blu,2012,Giuseppe Piccioni,-0.5,2,3,0,"1,5","0,5"
Il silenzio degli innocenti,1991,Jonathan Demme,0,5,4,4,4,1
Il talento di Mr. Ripley,1999,Anthony Minghella,-0.3,4,4,4,4,0
Il tempo delle mele 1,1980,Claude Pinoteau,-0.7,3,3,0,"1,5","1,5"
Il tempo delle mele 2,1982,Claude Pinoteau,-0.1,3,3,0,"1,5","1,5"
Il treno per Darjeeling,2007,Wes Anderson,4,3,4,3,"3,5","0,5"
Il vento che accarezza l'erba,2006,Ken Loach,0.1,4,4,4,4,0
In and out,1997,Frank Oz,0.1,3,3,3,3,0
In darkness,2013,Agnieszka Holland,-0.4,3,4,4,4,1
Inception,2010,Christopher Nolan,26,4,4,4,4,0
Indagine su un cittadino al di sopra di ogni sospetto,1970,Elio Petri,0,3,4,4,4,1
Innamorarsi,1984,Ulu Grosbard,0,1,3,3,3,2
Into the Wild - Nelle terre selvagge,2007,Sean Penn,-0.5,2,4,4,4,2
Into the Woods,2014,Rob Marshall,34,1,3,3,3,2
Intrigo a Berlino,2006,Steven Soderbergh,17,2,3,2,"2,5","0,5"
Intrigo internazionale,1959,Alfred Hitchcock,1,4,4,4,4,0
Io ed Annie,1977,Woody Allen,10,3,4,4,4,1
Io sono leggenda,2007,Francis Lawrence,0.5,1,4,3,"3,5","2,5"
Io ti salverò,1945,Alfred Hitchcock,1,2,4,4,4,2
J'ai tué mère,2009,Xavier Dolan,13,4,4,4,4,0
Jackie Brown,1997,Quentin Tarantino,8,4,4,4,4,0
Johnny English,2003,Peter Howitt,0.2,3,3,2,"2,5","0,5"
Johnny English - La rinascita,2011,Oliver Parker,-0.1,2,3,2,"2,5","0,5"
Johnny stecchino,1991,Roberto Benigni,21,3,4,3,"3,5","0,5"
Jules et Jim,2002,François Truffaut,0.5,4,4,4,4,0
Julie and Julia,2009,Nora Ephron,-0.3,3,3,4,"3,5","0,5"
Jumanji,1995,Joe Johnston,0.4,3,3,3,3,0
Juno,2008,Jason Reitman,0.3,3,4,4,4,1
Jurassic Park,1993,Steven Spielberg,16,2,4,4,4,2
Kill Bill - vol. 1,2003,Quentin Tarantino,8,5,4,4,4,1
Kill Bill - vol. 2,2004,Quentin Tarantino,8,5,4,4,4,1
Knight of cups,2015,Terrence Malick,9,3,3,3,3,0
Koyaanisqatsi,1983,Godfrey Reggio,0,4,4,4,4,0
Kramer contro Kramer,1979,Robert Benton,0,2,4,4,4,2
L'amore non va in vacanza,2006,Nancy Meyers,-0.4,3,3,3,3,0
L'appartamento spagnolo,2003,Cédric Klapisch,0.4,4,4,3,"3,5","0,5"
L'attesa,2015,Piero Messina,0.5,5,3,3,3,2
L'attimo fuggente,1989,Peter Weir,-0.3,4,4,4,4,0
L'erba di Grace,2000,Nigel Cole,-0.5,3,3,3,3,0
L'étrange couleur des toutes les larmes de ton corp,2013,"Hélène Cattet, Bruno Forzani",-0.3,3,3,3,3,0
L'inarrivabile felicità,1941,Sidney Lanfield,0,1,3,0,"1,5","0,5"
L'onda,2009,Dennis Gansel,-0.6,1,4,3,"3,5","2,5"
L'ultimo bacio,2001,Gabriele Muccino,0.4,4,3,0,"1,5","2,5"
L'ultimo imperatore,1987,Bernardo Bertolucci,2,5,4,4,4,1
L'uomo bicentenario,2000,Chris Columbus,30,2,3,2,"2,5","0,5"
L'uomo che fissa le capre,2009,Grant Heslov,0.1,3,3,3,3,0
L'uomo che salì sulla collina e scese dalla montagna,1995,Christopher Monger,-0.3,3,3,3,3,0
La chiave di Sara,2012,Gilles Paquet-Brenner,-0.1,3,4,3,"3,5","0,5"
La città proibita,2007,Zhāng Yìmóu,0.1,3,3,3,3,0
La corrispondenza,2016,Giuseppe Tornatore,11,2,3,0,"1,5","0,5"
La custode di mia sorella,2009,Nick Cassavetes,0.3,3,4,3,"3,5","0,5"
La dolce vita,1960,Federico Fellini,0,3,4,5,"4,5","1,5"
La donna che visse due volte,1958,Alfred Hitchcock,1,4,4,4,4,0
La donna del tenente francese,1981,Karel Reisz,0,1,3,4,"3,5","2,5"
La donna perfetta,2004,Frank Oz,-0.4,2,3,2,"2,5","0,5"
La fabbrica di cioccolato,2005,Tim Burton,15,3,3,4,"3,5","0,5"
La famiglia omicidi,2005,Niall Johnson,-0.5,3,3,3,3,0
La finestra di fronte,2003,Ferzan Özpetek,3,9,4,3,"3,5","5,5"
La finestra sul cortile,1954,Alfred Hitchcock,1,4,4,4,4,0
La grande bellezza,2013,Paolo Sorrentino,7,3,4,4,4,1
La guerra dei mondi,2005,Steven Spielberg,16,0,3,3,3,3
La leggenda dell pianista sull'oceano,1998,Giuseppe Tornatore,11,5,4,3,"3,5","1,5"
La maschera di ferro,1998,Randall Wallace,0.1,3,3,3,3,0
La maschera di Zorro,1998,Martin Campbell,0.4,2,3,4,"3,5","1,5"
La meglio gioventù,2003,Marco Tullio Giordana,-0.4,3,4,4,4,1
La migliore offerta,2013,Giuseppe Tornatore,11,3,4,3,"3,5","0,5"
La morte ti fa bella,1992,Robert Zemeckis,22,3,3,3,3,0
La papessa,2010,Sönke Wortmann,0,4,3,0,"1,5","2,5"
La parola ai giurati,1957,Sidney Lumet,0,4,4,4,4,0
La ragazza con l'orecchino di perla,2004,Peter Webber,0.1,3,3,3,3,0
La scelta di Sophie,1982,Alan J. Pakula,0,4,4,3,"3,5","0,5"
La stanza del figlio,2001,Nanni Moretti,0.3,3,4,4,4,1
La teoria del tutto,2014,James Marsh,0.4,3,4,4,4,1
La terra trema,1952,Luchino Visconti,0,2,4,4,4,2
La tigre e il dragone,2001,Ang Lee,-0.4,2,4,4,4,2
La tigre e la neve,2005,Roberto Benigni,21,2,4,2,3,1
La vera storia di Jack lo squartatore,2001,"Allen Hughes, Albert Hughes",-0.2,1,3,3,3,2
La vie en rose,2007,Olivier Dahan,-0.3,4,4,3,"3,5","0,5"
La vita di Adèle,2013,Abdellatif Kechiche,-0.5,4,4,4,4,0
La vita è bella,1997,Roberto Benigni,21,4,4,4,4,0
Le ali della libertà,1994,Frank Darabont,-0.5,3,5,4,"4,5","1,5"
Le avventure acquatiche di Steve Zissou,2005,Wes Anderson,4,2,4,3,"3,5","1,5"
Le chiavi di casa,2004,Gianni Amelio,0,9,4,3,"3,5","5,5"
"Le cronache di Narnia - Il leone, la strega e l'armadio",2005,Andrew Adamson,0,1,3,3,3,2
Le fate ignoranti,2001,Ferzan Özpetek,3,4,4,0,2,2
Le mele di Adamo,2005,Anders Thomas Jensen,0.5,4,4,3,"3,5","0,5"
Le quattro piume,2002,Shekhar Kapur,0.1,3,3,3,3,0
Le relazioni pericolose,1988,Stephen Frears,-0.5,3,4,4,4,1
Le verità nascoste,2000,Robert Zemeckis,22,3,3,3,3,0
Le vite degli altri,2007,Florian Henckel von Donnersmarck,-0.2,4,4,4,4,0
Les amours imaginaires,2010,Xavier Dolan,13,3,4,3,"3,5","0,5"
Les Misérables,2012,Tom Hooper,14,2,4,3,"3,5","1,5"
Lezioni di piano,1993,Jane Campion,0,5,4,4,4,1
Lincoln,2012,Steven Spielberg,16,4,4,4,4,0
Lo chiamavano Jeeg Robot,2015,Gabriele Mainetti,0.4,4,4,0,2,2
Love,2015,Gaspar Noé,-0.3,3,3,2,"2,5","0,5"
Love actually,2003,Richard Curtis,-0.3,3,4,3,"3,5","0,5"
Macbeth,2015,Justin Kurzel,0.3,5,3,4,"3,5","1,5"
Mad Max: fury road,2015,George Miller,-0.1,1,4,4,4,3
Mamma mia!,2008,Phyllida Lloyd,0.4,2,3,3,3,1
Manhattan,1979,Woody Allen,10,9,4,4,4,5
Manuale d'amore,2005,Giovanni Veronesi,0.4,3,3,0,"1,5","1,5"
Maps to the Stars,2014,David Cronenberg,-0.4,3,3,3,3,0
Mars Attacks!,1997,Tim Burton,15,2,3,3,3,1
Mary Poppins,1964,Robert Stevenson,0,1,4,4,4,3
Match point,2005,Woody Allen,10,3,4,4,4,1
Matrix,1999,"Lana Wachowski, Andy Wachowski",-0.1,4,4,4,4,0
Matrix reloaded,2003,"Lana Wachowski, Andy Wachowski",0.1,4,4,3,"3,5","0,5"
Matrix revolutions,2003,"Lana Wachowski, Andy Wachowski",-0.4,3,3,3,3,0
Melancholia,2011,Lars von Trier,5,3,4,4,4,1
Memento,2001,Christopher Nolan,26,4,4,4,4,0
Memorie di una geisha,2005,Rob Marshall,34,4,4,3,"3,5","0,5"
Men in Black I,1997,Barry Sonnenfeld,0.2,4,4,4,4,0
Men in Black II,2002,Barry Sonnenfeld,0,3,3,3,3,0
Mi chiamo Sam,2001,Jessie Nelson,-0.5,5,4,2,3,2
Mi presenti i tuoi?,2004,Jay Roach,33,3,3,3,3,0
Midnight in Paris,2011,Woody Allen,10,2,4,4,4,2
Millennium,2011,David Fincher,25,4,4,4,4,0
Million Dollar Baby,2004,Clint Eastwood,0.2,9,4,4,4,5
Mine vaganti,2010,Ferzan Özpetek,3,3,4,1,"2,5","0,5"
Minority Report,2002,Steven Spielberg,16,9,4,4,4,5
Misery non deve morire,1990,Rob Reiner,-0.3,4,4,4,4,0
Mission,1986,Roland Joffé,-0.5,3,4,3,"3,5","0,5"
Mission: Impossible,1996,Brian De Palma,28,9,4,3,"3,5","5,5"
"Molto forte, incredibilmente vicino",2012,Stephen Daldry,18,3,3,3,3,0
Mommy,2014,Xavier Dolan,13,5,4,4,4,1
Moonrise Kingdom,2012,Wes Anderson,4,4,4,4,4,0
Moulin Rouge!,2001,Baz Luhrmann,0.2,4,4,4,4,0
Mr. Bean - L'ultima catastrofe,1997,Mel Smith,0.1,3,3,3,3,0
Mr. Nobody,2009,Jaco Van Dormael,-0.1,4,4,3,"3,5","0,5"
Mrs. Doubtfire - Mammo per sempre,1993,Chris Columbus,30,2,3,3,3,1
My fair lady,1965,George Cukor,0,4,4,4,4,0
Napoleon Dynamite,2004,Jared Hess,-0.1,3,3,3,3,0
Nati stanchi,2002,Dominick Tambasco,0.4,3,3,0,"1,5","1,5"
Nebraska,2013,Alexander Payne,35,3,4,4,4,1
Nella casa,2012,François Ozon,24,4,4,4,4,0
Nemiche amiche,1998,Chris Columbus,30,3,3,3,3,0
Nodo alla gola,1948,Alfred Hitchcock,1,4,4,4,4,0
Non è un paese per vecchi,2007,"Ethan Coen, Joel Coen",0,3,4,4,4,1
Notorious - L'amante perduta,1946,Alfred Hitchcock,1,4,4,4,4,0
Notting Hill,1999,Roger Michell,0,2,3,4,"3,5","1,5"
Novecento,1976,Bernardo Bertolucci,2,4,4,3,"3,5","0,5"
Nuovo Cinema Paradiso,1988,Giuseppe Tornatore,11,4,4,3,"3,5","0,5"
Nymphomaniac - vol. I,2013,Lars von Trier,5,5,3,3,3,2
Nymphomaniac - vol. II,2014,Lars von Trier,5,3,3,3,3,0
Ocean's Eleven,2001,Steven Soderbergh,17,4,4,3,"3,5","0,5"
Ocean's Thirteen,2007,Steven Soderbergh,17,3,3,3,3,0
Ocean's Twelve,2004,Steven Soderbergh,17,4,3,3,3,1
Ogni cosa è illuminata,2005,Liev Screiber,0.1,3,4,3,"3,5","0,5"
Oliver Twist,2005,Roman Polański,20,4,3,3,3,1
One day,2011,Lone Scherfig,-0.3,3,3,3,3,0
Orgoglio e pregiudizio,2005,Joe Wright,0.5,9,4,4,4,5
Orlando,1992,Sally Potter,0,5,4,3,"3,5","1,5"
Pane e tulipani,2000,Silvio Soldini,0.4,9,4,0,2,7
Panic room,2002,David Fincher,25,3,3,3,3,0
Paradiso + Inferno,2006,Neil Armfield,-0.7,2,4,3,"3,5","1,5"
Paradiso amaro,2011,Alexander Payne,35,1,4,4,4,3
Parenti serpenti,1993,Mario Monicelli,0.3,3,4,0,2,1
Piccoli gangsters,1976,Alan Parker,0,9,3,4,"3,5","5,5"
Piccoli omicidi tra amici,1994,Danny Boyle,31,3,4,3,"3,5","0,5"
Piccolo Buddha,1993,Bernardo Bertolucci,2,3,3,3,3,0
Pinocchio,2002,Roberto Benigni,21,2,2,1,"1,5","0,5"
Pirati dei Caraibi - La maledizione del forziere fantasma,2006,Gore Verbinski,0.5,3,4,3,"3,5","0,5"
Pirati dei Caraibi - La maledizione della prima luna,2003,Gore Verbinski,0.5,3,4,4,4,1
Pirati dei Caraibi - Oltre i confini del mare,2011,Rob Marshall,34,2,3,2,"2,5","0,5"
Piume di struzzo,1996,Mike Nichols,6,3,3,3,3,0
Pollo alle prugne,2011,"Marjane Satrapi, Vincent Paronnaud",-0.5,3,4,3,"3,5","0,5"
Pomodori verdi fritti alla fermata del treno,1991,Jon Avnet,0,3,4,3,"3,5","0,5"
Precious,2009,Lee Daniels,-0.4,4,4,4,4,0
Prime,2005,Ben Younger,0.3,3,3,3,3,0
Profumo - Storia di un assassino,2006,Tom Tykwer,0.3,4,4,3,"3,5","0,5"
Prometheus,2012,Ridley Scott,0,9,3,3,3,6
Prova a prendermi,2002,Steven Spielberg,16,4,4,4,4,0
Psycho,1960,Alfred Hitchcock,1,4,4,5,"4,5","0,5"
Pulp Fiction,1994,Quentin Tarantino,8,5,4,5,"4,5","0,5"
Qualcuno volò sul nido del cuculo,1975,Miloš Forman,-0.3,5,4,4,4,1
Quattro matrimoni e un funerale,1994,Mike Newell,0.2,3,4,4,4,1
Quella casa nel bosco,2012,Drew Goddard,-0.6,1,3,4,"3,5","2,5"
Rachel sta per sposarsi,2008,Jonathan Demme,0.1,3,3,4,"3,5","0,5"
Ragazze interrotte,1999,"James Mangold, Jonathan Kahn",0.1,4,4,3,"3,5","0,5"
Rebecca - La prima moglie,1940,Alfred Hitchcock,1,3,4,4,4,1
Red eye,2005,Wes Craven,0.5,3,3,3,3,0
